ground_id,ground,country,continent,latitude,longitude
2130,"St Mary's Park, Cayon, St Kitts",West Indies,Americas,,
867,"Arlem Breweries Ground, Margao",India,Asia,,
112,"New County Ground, Hove, Brighton",England,Europe,50.829990,-0.164167
621,"Sector 16 Stadium, Chandigarh",India,Asia,30.741581,76.775055
565,"Millfield School, Street",England,Europe,,
176,"The Royal & Sun Alliance County Ground, Bristol",England,Europe,51.477051,-2.584355
2395,"Jain International Residential School Ground, Bangalore",India,Asia,,
564,"Kardinia Park, Geelong",Australia,Oceania,-38.157318,144.353500
954,"County Ground, Trowbridge",England,Europe,0.000000,0.000000
1545,"Maple Leaf North-West Ground, Toronto",Canada,Americas,,
2691,"Aditya Academy Ground, Bangalore",India,Asia,0.000000,0.000000
454,"Dring Stadium, Bahawalpur",Pakistan,Asia,29.404522,71.684395
736,"Northern Railway Stadium, Bikaner",India,Asia,,
1455,"Lowveld Country Club, Nelspruit",South Africa,Africa,,
2518,"Foursquare Oval, St Philip, Barbados",West Indies,Americas,,
394,"Olympia Park, Springs",South Africa,Africa,,
399,"Woodbridge Road, Guildford",England,Europe,,
2225,"St Benedicts College Ground, Colombo",Sri Lanka,Asia,0.000000,0.000000
1125,"Kampong, Utrecht",Netherlands,Europe,,
613,"Clontarf Cricket Club Ground, Dublin",Ireland,Europe,,
1284,"Bothwell Castle, Uddingston",Scotland,Europe,0.000000,0.000000
653,"Tata Digwadi Stadium, Jamadoba",India,Asia,,
1377,"Dubai Cricket Council Ground No 2, Dubai",United Arab Emirates,Asia,,
1984,"Olympia Park, Rustenberg",South Africa,Africa,0.000000,0.000000
2252,"St Stithian's College Ground, Johannesburg",South Africa,Africa,0.000000,0.000000
189,"Gymkhana Ground, Bombay",India,Asia,18.937654,72.831253
805,"No 1 Sports Ground, Newcastle",Australia,Oceania,-32.931393,151.763290
449,"Johnson Park, Yeovil",England,Europe,,
1415,"Northern Ireland Cricket Club, Belfast",England,Europe,,
494,"Ibn-e-Qasim Bagh Stadium, Multan",Pakistan,Asia,30.197750,71.474045
2200,"Karori Park, Wellington",New Zealand,Oceania,-41.286037,174.724655
2127,"Gardens Oval, Benalla",Australia,Oceania,-36.554203,145.980286
2606,Shrewsbury School,England,Europe,0.000000,0.000000
1955,"Avion Park Cricket Club, Kempton Park",South Africa,Africa,,
628,"Mindoo Phillip Park, Castries, St Lucia",West Indies,Americas,14.004330,-60.984638
1292,"Enborne Lodge, Newbury",England,Europe,0.000000,0.000000
1449,"Yarrow Stadium, New Plymouth",New Zealand,Oceania,-39.070229,174.065216
510,"Snibston Colliery Ground, Coalville",England,Europe,,
2786,"Jacques Kallis Oval, Wynberg Boys High School, Cape Town",South Africa,Africa,0.000000,0.000000
1400,"Ivanhoe Cricket Club, Kirby Muxloe",England,Europe,,
951,"Eastern Oval, Ballarat",Australia,Oceania,-37.557732,143.863525
52,"Bat and Ball Ground, Gravesend",England,Europe,,
352,"Griff and Coton Ground, Nuneaton",England,Europe,,
2654,"Perriam Downs, Luggershall",England,Europe,0.000000,0.000000
842,"The Meadow, Downpatrick",Ireland,Europe,,
2714,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",United Arab Emirates,Asia,0.000000,0.000000
1176,"Alpart Sports Club, St Elizabeth, Jamaica",West Indies,Americas,,
1208,"Orleton Park, Wellington",England,Europe,,
1444,"Rubber Research Institute, Kuala Lumpur",Malaysia,Asia,,
2100,"Mohadin, Potchefstroom",South Africa,Africa,,
666,"Police B Ground, Salisbury",South Africa,Africa,,
580,"KD Singh Babu Stadium, Lucknow",India,Asia,26.855387,80.938072
1171,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Asia,,
771,Stellenbosch University Ground,South Africa,Africa,,
2530,"7he Sevens Stadium, Dubai",United Arab Emirates,Asia,,
1294,"Whitgift School, Croydon",England,Europe,,
2877,"St Stithians Ridgeway, Johannesburg",South Africa,Africa,0.000000,0.000000
1331,Kwekwe Sports Club,Zimbabwe,Africa,-18.919065,29.811539
2617,"Velden Cricket Club Ground, Velden",Slovenia,Europe,0.000000,0.000000
905,"Bellerive Oval, Hobart",Australia,Oceania,-42.877167,147.373779
409,"Aitchison College Ground, Lahore",Pakistan,Asia,,
1966,"Infosys Ground, Mysore",India,Asia,,
1465,Bedford School Ground,England,Europe,,
2705,"Greenstead School Cricket Ground, Nakuru",Kenya,Africa,0.000000,0.000000
2006,"Quaid-e-Azam Cricket Stadium, Mirpur",Pakistan,Asia,0.000000,0.000000
1632,Ealing Cricket Club Ground,England,Europe,,
446,"Pukekura Park, New Plymouth",New Zealand,Oceania,-39.062828,174.079315
2542,Kibworth Cricket Club New No 2 Ground,England,Europe,0.000000,0.000000
253,"Cricket Field Road Ground, Horsham",England,Europe,,
1597,Multan Cricket Stadium,Pakistan,Asia,30.171003,71.524536
2504,Al Dhaid Cricket Village,United Arab Emirates,Asia,,
271,"Hamilton Crescent, Glasgow",Scotland,Europe,,
1693,"Trans Namib Ground, Windhoek",Namibia,Africa,0.000000,0.000000
749,"Chatrapati Shivaji Stadium, Karad",India,Asia,,
1928,"Eastern Railways Sports Complex, Kolkata",India,Asia,,
1409,"Civil Service Cricket Club, Stormont, Belfast",Ireland,Europe,,
18,Petworth Park,England,Europe,,
1029,"Nehru Stadium, Fatorda, Margao",India,Asia,15.289661,73.962372
1585,Dinton Cricket Club Ground,England,Europe,,
2439,Dubai International Cricket Stadium,United Arab Emirates,Asia,25.047035,55.218842
498,"Hesketh Park, Dartford",England,Europe,,
1929,"Jadavpur University Complex, Kolkata",India,Asia,,
1132,"Colin Maiden Park, Auckland",New Zealand,Oceania,-36.879990,174.848557
1079,"Enmore Recreation Ground, Enmore, Guyana",West Indies,Americas,,
232,"County Ground, Northampton",England,Europe,52.248531,-0.871331
557,"Railways Recreation Club Ground, Secunderabad",India,Asia,,
1521,"N2 Stadium, Aurangabad",India,Asia,,
2128,"Anant Kanhere Maidan, Nasik",India,Asia,0.000000,0.000000
414,Rajkot Cricket Club Ground,India,Asia,,
488,"Zafar Ali Stadium, Sahiwal",Pakistan,Asia,30.660044,73.099899
200,"Sabina Park, Kingston, Jamaica",West Indies,Americas,17.978214,-76.782532
