format,year,month,rank,country,rating
odi,2010,5,2,India,121
odi,2010,5,3,South Africa,119
odi,2010,5,4,New Zealand,114
odi,2010,5,5,England,110
odi,2010,5,6,Sri Lanka,108
odi,2010,5,7,Pakistan,104
odi,2010,5,8,West Indies,71
odi,2010,5,9,Bangladesh,52
odi,2010,5,10,Zimbabwe,29
odi,2010,5,11,Ireland,24
odi,2010,5,12,Kenya,2
odi,2010,5,13,Netherlands,0
odi,2010,6,1,Australia,130
odi,2010,6,2,South Africa,119
odi,2010,6,3,India,119
odi,2010,6,4,England,115
odi,2010,6,5,New Zealand,114
odi,2010,6,6,Sri Lanka,109
odi,2010,6,7,Pakistan,102
odi,2010,6,8,West Indies,71
odi,2010,6,9,Bangladesh,52
odi,2010,6,10,Zimbabwe,34
odi,2010,6,11,Ireland,23
odi,2010,6,12,Kenya,2
odi,2010,6,13,Netherlands,0
odi,2010,7,1,Australia,132
odi,2010,7,2,India,118
odi,2010,7,3,South Africa,115
odi,2010,7,4,New Zealand,114
odi,2010,7,5,England,113
odi,2010,7,6,Sri Lanka,111
odi,2010,7,7,Pakistan,98
odi,2010,7,8,West Indies,67
odi,2010,7,9,Bangladesh,53
odi,2010,7,10,Zimbabwe,36
odi,2010,7,11,Ireland,35
odi,2010,7,12,Netherlands,32
odi,2010,7,13,Kenya,0
odi,2010,8,1,Australia,132
odi,2010,8,2,India,115
odi,2010,8,3,Sri Lanka,115
odi,2010,8,4,South Africa,115
odi,2010,8,5,England,113
odi,2010,8,6,New Zealand,112
odi,2010,8,7,Pakistan,98
odi,2010,8,8,West Indies,67
odi,2010,8,9,Bangladesh,53
odi,2010,8,10,Ireland,45
odi,2010,8,11,Zimbabwe,36
odi,2010,8,12,Netherlands,17
odi,2010,8,13,Kenya,0
odi,2010,9,1,Australia,132
odi,2010,9,2,India,115
odi,2010,9,3,Sri Lanka,115
odi,2010,9,4,South Africa,115
odi,2010,9,5,England,112
odi,2010,9,6,New Zealand,112
odi,2010,9,7,Pakistan,99
odi,2010,9,8,West Indies,67
odi,2010,9,9,Bangladesh,53
odi,2010,9,10,Ireland,39
odi,2010,9,11,Zimbabwe,38
odi,2010,9,12,Netherlands,17
odi,2010,9,13,Kenya,0
odi,2010,10,1,Australia,130
odi,2010,10,2,India,117
odi,2010,10,3,Sri Lanka,115
odi,2010,10,4,South Africa,115
odi,2010,10,5,England,112
odi,2010,10,6,Pakistan,100
odi,2010,10,7,New Zealand,96
odi,2010,10,8,West Indies,67
odi,2010,10,9,Bangladesh,67
odi,2010,10,10,Ireland,39
odi,2010,10,11,Zimbabwe,37
odi,2010,10,12,Netherlands,17
odi,2010,10,13,Kenya,0
odi,2010,11,1,Australia,128
odi,2010,11,2,India,118
odi,2010,11,3,Sri Lanka,118
odi,2010,11,4,South Africa,115
odi,2010,11,5,England,112
odi,2010,11,6,Pakistan,100
odi,2010,11,7,New Zealand,95
odi,2010,11,8,West Indies,67
odi,2010,11,9,Bangladesh,67
odi,2010,11,10,Ireland,39
odi,2010,11,11,Zimbabwe,37
odi,2010,11,12,Netherlands,17
odi,2010,11,13,Kenya,0
odi,2010,12,1,Australia,128
odi,2010,12,2,India,121
odi,2010,12,3,Sri Lanka,118
odi,2010,12,4,South Africa,115
odi,2010,12,5,England,112
odi,2010,12,6,Pakistan,100
odi,2010,12,7,New Zealand,91
odi,2010,12,8,West Indies,67
odi,2010,12,9,Bangladesh,66
odi,2010,12,10,Ireland,39
odi,2010,12,11,Zimbabwe,37
odi,2010,12,12,Netherlands,17
odi,2010,12,13,Kenya,0
odi,2011,1,1,Australia,129
odi,2011,1,2,India,119
odi,2011,1,3,Sri Lanka,118
odi,2011,1,4,South Africa,118
odi,2011,1,5,England,110
odi,2011,1,6,Pakistan,100
odi,2011,1,7,New Zealand,92
odi,2011,1,8,West Indies,67
odi,2011,1,9,Bangladesh,66
odi,2011,1,10,Ireland,39
odi,2011,1,11,Zimbabwe,37
odi,2011,1,12,Netherlands,17
odi,2011,1,13,Kenya,0
odi,2011,2,1,Australia,131
odi,2011,2,2,India,119
odi,2011,2,3,South Africa,118
odi,2011,2,4,Sri Lanka,117
odi,2011,2,5,England,109
odi,2011,2,6,Pakistan,103
odi,2011,2,7,New Zealand,91
odi,2011,2,8,Bangladesh,67
odi,2011,2,9,West Indies,66
odi,2011,2,10,Zimbabwe,37
odi,2011,2,11,Ireland,37
odi,2011,2,12,Netherlands,15
odi,2011,2,13,Kenya,0
odi,2011,3,1,Australia,128
odi,2011,3,2,India,120
odi,2011,3,3,Sri Lanka,119
odi,2011,3,4,South Africa,116
odi,2011,3,5,England,105
odi,2011,3,6,Pakistan,103
odi,2011,3,7,New Zealand,94
odi,2011,3,8,West Indies,68
odi,2011,3,9,Bangladesh,68
odi,2011,3,10,Ireland,42
odi,2011,3,11,Zimbabwe,37
odi,2011,3,12,Netherlands,10
odi,2011,3,13,Kenya,0
odi,2011,4,1,Australia,129
odi,2011,4,2,India,121
odi,2011,4,3,Sri Lanka,118
odi,2011,4,4,South Africa,116
odi,2011,4,5,England,105
odi,2011,4,6,Pakistan,104
odi,2011,4,7,New Zealand,94
odi,2011,4,8,Bangladesh,67
odi,2011,4,9,West Indies,66
odi,2011,4,10,Ireland,42
odi,2011,4,11,Zimbabwe,37
odi,2011,4,12,Netherlands,10
odi,2011,4,13,Kenya,0
odi,2011,5,1,Australia,129
odi,2011,5,2,India,121
odi,2011,5,3,Sri Lanka,118
odi,2011,5,4,South Africa,116
odi,2011,5,5,England,105
odi,2011,5,6,Pakistan,100
odi,2011,5,7,New Zealand,94
odi,2011,5,8,West Indies,72
odi,2011,5,9,Bangladesh,67
odi,2011,5,10,Ireland,41
odi,2011,5,11,Zimbabwe,37
odi,2011,5,12,Netherlands,10
odi,2011,5,13,Kenya,0
odi,2011,6,1,Australia,129
odi,2011,6,2,India,119
odi,2011,6,3,Sri Lanka,117
odi,2011,6,4,South Africa,116
odi,2011,6,5,England,107
odi,2011,6,6,Pakistan,100
odi,2011,6,7,New Zealand,94
odi,2011,6,8,West Indies,76
odi,2011,6,9,Bangladesh,67
odi,2011,6,10,Ireland,41
odi,2011,6,11,Zimbabwe,37
odi,2011,6,12,Netherlands,10
odi,2011,6,13,Kenya,0
odi,2011,7,1,Australia,129
odi,2011,7,2,India,119
odi,2011,7,3,South Africa,116
odi,2011,7,4,Sri Lanka,116
odi,2011,7,5,England,108
odi,2011,7,6,Pakistan,100
odi,2011,7,7,New Zealand,94
odi,2011,7,8,West Indies,76
odi,2011,7,9,Bangladesh,67
odi,2011,7,10,Ireland,41
odi,2011,7,11,Zimbabwe,37
odi,2011,7,12,Netherlands,10
odi,2011,7,13,Kenya,0
odi,2011,8,1,Australia,130
odi,2011,8,2,Sri Lanka,119
odi,2011,8,3,India,117
odi,2011,8,4,South Africa,116
odi,2011,8,5,England,107
odi,2011,8,6,Pakistan,100
odi,2011,8,7,New Zealand,90
odi,2011,8,8,West Indies,78
odi,2011,8,9,Bangladesh,63
odi,2011,8,10,Zimbabwe,46
odi,2011,8,11,Ireland,41
odi,2011,8,12,Netherlands,5
odi,2011,8,13,Kenya,0
odi,2011,9,1,Australia,130
odi,2011,9,2,Sri Lanka,119
odi,2011,9,3,South Africa,116
odi,2011,9,4,England,113
odi,2011,9,5,India,112
odi,2011,9,6,Pakistan,101
odi,2011,9,7,New Zealand,90
odi,2011,9,8,West Indies,78
odi,2011,9,9,Bangladesh,63
odi,2011,9,10,Zimbabwe,44
odi,2011,9,11,Ireland,41
odi,2011,9,12,Netherlands,15
odi,2011,9,13,Kenya,0
odi,2011,10,1,Australia,130
odi,2011,10,2,Sri Lanka,119
odi,2011,10,3,India,118
odi,2011,10,4,South Africa,115
odi,2011,10,5,England,106
odi,2011,10,6,Pakistan,101
odi,2011,10,7,New Zealand,87
odi,2011,10,8,West Indies,78
odi,2011,10,9,Bangladesh,63
odi,2011,10,10,Zimbabwe,47
odi,2011,10,11,Ireland,41
odi,2011,10,12,Netherlands,15
odi,2011,10,13,Kenya,0
odi,2011,11,1,Australia,130
odi,2011,11,2,India,118
odi,2011,11,3,South Africa,115
odi,2011,11,4,Sri Lanka,112
odi,2011,11,5,Pakistan,108
odi,2011,11,6,England,106
odi,2011,11,7,New Zealand,87
odi,2011,11,8,West Indies,77
odi,2011,11,9,Bangladesh,63
odi,2011,11,10,Zimbabwe,47
odi,2011,11,11,Ireland,41
odi,2011,11,12,Netherlands,15
odi,2011,11,13,Kenya,0
odi,2011,12,1,Australia,130
odi,2011,12,2,India,117
odi,2011,12,3,South Africa,115
odi,2011,12,4,Sri Lanka,112
odi,2011,12,5,Pakistan,109
odi,2011,12,6,England,106
odi,2011,12,7,New Zealand,87
odi,2011,12,8,West Indies,79
odi,2011,12,9,Bangladesh,62
odi,2011,12,10,Zimbabwe,47
odi,2011,12,11,Ireland,41
odi,2011,12,12,Netherlands,15
odi,2011,12,13,Kenya,0
odi,2012,1,1,Australia,130
odi,2012,1,2,India,117
odi,2012,1,3,South Africa,116
odi,2012,1,4,Sri Lanka,111
odi,2012,1,5,Pakistan,109
odi,2012,1,6,England,106
odi,2012,1,7,New Zealand,87
odi,2012,1,8,West Indies,79
odi,2012,1,9,Bangladesh,62
odi,2012,1,10,Zimbabwe,47
odi,2012,1,11,Ireland,41
odi,2012,1,12,Netherlands,15
odi,2012,1,13,Kenya,0
odi,2012,2,1,Australia,129
odi,2012,2,2,South Africa,118
odi,2012,2,3,India,117
odi,2012,2,4,Sri Lanka,113
odi,2012,2,5,England,111
odi,2012,2,6,Pakistan,104
odi,2012,2,7,New Zealand,87
odi,2012,2,8,West Indies,79
odi,2012,2,9,Bangladesh,62
odi,2012,2,10,Zimbabwe,46
odi,2012,2,11,Ireland,36
odi,2012,2,12,Netherlands,15
odi,2012,2,13,Kenya,8
odi,2012,3,1,Australia,123
odi,2012,3,2,South Africa,118
odi,2012,3,3,India,117
odi,2012,3,4,England,111
odi,2012,3,5,Sri Lanka,110
odi,2012,3,6,Pakistan,105
odi,2012,3,7,New Zealand,86
odi,2012,3,8,West Indies,86
odi,2012,3,9,Bangladesh,67
odi,2012,3,10,Zimbabwe,46
odi,2012,3,11,Ireland,36
odi,2012,3,12,Netherlands,15
odi,2012,3,13,Kenya,8
odi,2012,4,1,Australia,123
odi,2012,4,2,South Africa,118
odi,2012,4,3,India,117
odi,2012,4,4,England,111
odi,2012,4,5,Sri Lanka,110
odi,2012,4,6,Pakistan,105
odi,2012,4,7,New Zealand,86
odi,2012,4,8,West Indies,86
odi,2012,4,9,Bangladesh,67
odi,2012,4,10,Zimbabwe,46
odi,2012,4,11,Ireland,36
odi,2012,4,12,Netherlands,15
odi,2012,4,13,Kenya,8
odi,2012,5,1,Australia,123
odi,2012,5,2,South Africa,118
odi,2012,5,3,India,117
odi,2012,5,4,England,111
odi,2012,5,5,Sri Lanka,110
odi,2012,5,6,Pakistan,105
odi,2012,5,7,New Zealand,86
odi,2012,5,8,West Indies,86
odi,2012,5,9,Bangladesh,67
odi,2012,5,10,Zimbabwe,46
odi,2012,5,11,Ireland,36
odi,2012,5,12,Netherlands,15
odi,2012,5,13,Kenya,8
odi,2012,6,1,Australia,123
odi,2012,6,2,South Africa,118
odi,2012,6,3,India,117
odi,2012,6,4,England,112
odi,2012,6,5,Sri Lanka,112
odi,2012,6,6,Pakistan,103
odi,2012,6,7,New Zealand,86
odi,2012,6,8,West Indies,85
odi,2012,6,9,Bangladesh,67
odi,2012,6,10,Zimbabwe,46
odi,2012,6,11,Ireland,36
odi,2012,6,12,Netherlands,15
odi,2012,6,13,Kenya,8
odi,2012,7,1,Australia,119
odi,2012,7,2,South Africa,118
odi,2012,7,3,India,118
odi,2012,7,4,England,118
odi,2012,7,5,Sri Lanka,111
odi,2012,7,6,Pakistan,103
odi,2012,7,7,West Indies,88
odi,2012,7,8,New Zealand,82
odi,2012,7,9,Bangladesh,67
odi,2012,7,10,Zimbabwe,46
odi,2012,7,11,Ireland,36
odi,2012,7,12,Netherlands,15
odi,2012,7,13,Kenya,8
odi,2012,8,1,England,121
odi,2012,8,2,South Africa,120
odi,2012,8,3,India,120
odi,2012,8,4,Australia,114
odi,2012,8,5,Sri Lanka,108
odi,2012,8,6,Pakistan,103
odi,2012,8,7,West Indies,94
odi,2012,8,8,New Zealand,74
odi,2012,8,9,Bangladesh,71
odi,2012,8,10,Zimbabwe,50
odi,2012,8,11,Ireland,35
odi,2012,8,12,Netherlands,16
odi,2012,8,13,Kenya,11
odi,2012,9,1,England,121
odi,2012,9,2,South Africa,121
odi,2012,9,3,India,120
odi,2012,9,4,Australia,113
odi,2012,9,5,Sri Lanka,108
odi,2012,9,6,Pakistan,104
odi,2012,9,7,West Indies,94
odi,2012,9,8,New Zealand,74
odi,2012,9,9,Bangladesh,71
odi,2012,9,10,Zimbabwe,50
odi,2012,9,11,Ireland,35
odi,2012,9,12,Netherlands,16
odi,2012,9,13,Kenya,11
odi,2012,10,1,England,121
odi,2012,10,2,South Africa,121
odi,2012,10,3,India,120
odi,2012,10,4,Australia,113
odi,2012,10,5,Sri Lanka,108
odi,2012,10,6,Pakistan,104
odi,2012,10,7,West Indies,94
odi,2012,10,8,New Zealand,74
odi,2012,10,9,Bangladesh,71
odi,2012,10,10,Zimbabwe,50
odi,2012,10,11,Ireland,35
odi,2012,10,12,Netherlands,16
odi,2012,10,13,Kenya,11
odi,2012,11,1,England,121
odi,2012,11,2,South Africa,121
odi,2012,11,3,India,120
odi,2012,11,4,Australia,113
odi,2012,11,5,Sri Lanka,109
odi,2012,11,6,Pakistan,104
odi,2012,11,7,West Indies,90
odi,2012,11,8,Bangladesh,75
odi,2012,11,9,New Zealand,72
odi,2012,11,10,Zimbabwe,50
odi,2012,11,11,Ireland,35
odi,2012,11,12,Netherlands,16
odi,2012,11,13,Kenya,11
odi,2012,12,1,England,121
odi,2012,12,2,South Africa,121
odi,2012,12,3,India,118
odi,2012,12,4,Australia,113
odi,2012,12,5,Sri Lanka,110
odi,2012,12,6,Pakistan,106
odi,2012,12,7,West Indies,88
odi,2012,12,8,Bangladesh,78
odi,2012,12,9,New Zealand,72
odi,2012,12,10,Zimbabwe,50
odi,2012,12,11,Ireland,35
odi,2012,12,12,Netherlands,16
odi,2012,12,13,Kenya,11
odi,2013,1,1,India,119
odi,2013,1,2,England,119
odi,2013,1,3,Australia,113
odi,2013,1,4,South Africa,112
odi,2013,1,5,Sri Lanka,110
odi,2013,1,6,Pakistan,107
odi,2013,1,7,West Indies,88
odi,2013,1,8,New Zealand,79
odi,2013,1,9,Bangladesh,78
odi,2013,1,10,Zimbabwe,50
odi,2013,1,11,Ireland,35
odi,2013,1,12,Netherlands,16
odi,2013,1,13,Kenya,11
odi,2013,2,1,India,119
odi,2013,2,2,England,117
odi,2013,2,3,Australia,116
odi,2013,2,4,South Africa,112
odi,2013,2,5,Sri Lanka,110
odi,2013,2,6,Pakistan,107
odi,2013,2,7,West Indies,86
odi,2013,2,8,New Zealand,82
odi,2013,2,9,Bangladesh,78
odi,2013,2,10,Zimbabwe,47
odi,2013,2,11,Ireland,35
odi,2013,2,12,Netherlands,16
odi,2013,2,13,Kenya,11
odi,2013,3,1,India,119
odi,2013,3,2,England,117
odi,2013,3,3,Australia,116
odi,2013,3,4,South Africa,114
odi,2013,3,5,Sri Lanka,110
odi,2013,3,6,Pakistan,106
odi,2013,3,7,West Indies,86
odi,2013,3,8,New Zealand,82
odi,2013,3,9,Bangladesh,78
odi,2013,3,10,Zimbabwe,47
odi,2013,3,11,Ireland,35
odi,2013,3,12,Netherlands,16
odi,2013,3,13,Kenya,11
